Date,Open,High,Low,Close,Adj Close,Volume
2019-07-22,87.860001,90.580002,87.239998,89.779999,89.779999,551600
2019-07-23,90.349998,90.940002,88.750000,89.410004,89.410004,471000
2019-07-24,89.500000,92.489998,89.110001,92.440002,92.440002,796300
2019-07-25,91.860001,93.745003,90.790001,93.370003,93.370003,561100
2019-07-26,93.900002,95.699997,93.900002,94.769997,94.769997,975100
2019-07-29,94.830002,95.000000,91.669998,93.190002,93.190002,607400
2019-07-30,92.769997,95.300003,92.139999,94.519997,94.519997,526400
2019-07-31,94.650002,95.570000,92.239998,93.169998,93.169998,879000
2019-08-01,93.349998,96.250000,93.294998,94.449997,94.449997,1295300
2019-08-02,94.379997,94.379997,86.910004,87.900002,87.900002,1663000
2019-08-05,84.290001,86.050003,82.300003,83.239998,83.239998,1499700
2019-08-06,85.379997,85.500000,81.889999,83.760002,83.760002,1894200
2019-08-07,60.540001,63.029999,55.599998,59.779999,59.779999,10291200
2019-08-08,60.209999,64.696999,60.200001,63.970001,63.970001,3752500
2019-08-09,63.549999,64.370003,62.430000,63.080002,63.080002,1407700
2019-08-12,63.910000,65.050003,62.639999,63.250000,63.250000,1454400
2019-08-13,63.209999,63.970001,61.650002,61.869999,61.869999,2119000
2019-08-14,60.580002,60.939999,58.619999,59.599998,59.599998,1491600
2019-08-15,59.500000,59.849998,58.619999,58.849998,58.849998,1266500
2019-08-16,59.220001,59.490002,57.410000,57.500000,57.500000,1314400
2019-08-19,58.070000,58.410000,57.020000,57.070000,57.070000,1360300
2019-08-20,57.080002,57.145000,56.520000,56.650002,56.650002,1485000
2019-08-21,57.000000,57.990002,56.660000,57.400002,57.400002,1000100
2019-08-22,57.209999,57.770000,56.430000,57.000000,57.000000,1488400
2019-08-23,57.230000,58.950001,57.000000,58.500000,58.500000,1642500
2019-08-26,59.000000,59.279999,55.430000,57.200001,57.200001,1537400
2019-08-27,57.529999,58.459999,56.669998,57.200001,57.200001,1904100
2019-08-28,56.770000,56.810001,54.830002,56.310001,56.310001,944300
2019-08-29,56.790001,58.009998,56.750000,57.459999,57.459999,1019900
2019-08-30,58.000000,58.430000,56.709999,57.340000,57.340000,836800
2019-09-03,57.119999,57.860001,55.459999,56.299999,56.299999,1259200
2019-09-04,56.939999,57.599998,56.119999,56.599998,56.599998,849400
2019-09-05,57.360001,57.639999,56.570000,57.279999,57.279999,1122100
2019-09-06,57.410000,57.599998,56.599998,56.810001,56.810001,509400
2019-09-09,57.040001,57.250000,55.240002,57.150002,57.150002,1064100
2019-09-10,57.049999,59.088001,56.584999,58.259998,58.259998,1097700
2019-09-11,58.619999,60.860001,57.320000,60.259998,60.259998,1060900
2019-09-12,60.340000,60.900002,59.000000,59.380001,59.380001,742800
2019-09-13,59.419998,59.840000,58.139999,58.410000,58.410000,468800
2019-09-16,50.869999,58.520000,50.000000,58.169998,58.169998,5116700
2019-09-17,60.537998,61.590000,59.419998,60.180000,60.180000,2242100
2019-09-18,60.029999,60.380001,58.750000,60.099998,60.099998,1125000
2019-09-19,61.000000,63.990002,60.950001,62.720001,62.720001,1715000
2019-09-20,62.980000,63.910000,62.480000,63.220001,63.220001,1812700
2019-09-23,63.139999,64.565002,62.775002,64.239998,64.239998,711900
2019-09-24,64.349998,64.349998,62.750000,64.000000,64.000000,2054500
2019-09-25,63.860001,64.320000,61.500000,63.980000,63.980000,1108100
2019-09-26,63.990002,64.900002,63.189999,64.389999,64.389999,875300
2019-09-27,64.489998,64.489998,60.599998,61.410000,61.410000,1130300
2019-09-30,61.709999,62.369999,60.889999,61.450001,61.450001,755800
2019-10-01,61.700001,62.910000,61.509998,61.639999,61.639999,547700
2019-10-02,61.070000,61.220001,60.250000,60.959999,60.959999,574900
2019-10-03,61.759998,63.580002,60.320000,63.369999,63.369999,856400
2019-10-04,63.880001,64.349998,62.369999,63.240002,63.240002,743600
2019-10-07,62.950001,63.369999,62.490002,62.759998,62.759998,405200
2019-10-08,62.389999,62.650002,60.520000,60.619999,60.619999,493000
2019-10-09,61.389999,61.740002,61.040001,61.520000,61.520000,429500
2019-10-10,61.490002,61.490002,60.419998,60.570000,60.570000,516600
2019-10-11,61.250000,62.744999,60.759998,61.580002,61.580002,718300
2019-10-14,61.500000,61.820000,60.810001,61.090000,61.090000,830000
2019-10-15,61.320000,61.990002,60.700001,61.090000,61.090000,1412500
2019-10-16,60.630001,61.599998,59.512001,61.459999,61.459999,1052700
2019-10-17,61.610001,62.200001,61.060001,61.270000,61.270000,646100
2019-10-18,60.980000,61.110001,57.799999,59.400002,59.400002,1158800
2019-10-21,60.029999,60.630001,59.581001,59.840000,59.840000,477300
2019-10-22,60.189999,60.419998,58.419998,58.430000,58.430000,488000
2019-10-23,58.320000,59.299999,58.320000,58.990002,58.990002,740000
2019-10-24,59.639999,60.369999,59.380001,60.340000,60.340000,774400
2019-10-25,60.220001,61.060001,59.080002,60.980000,60.980000,725800
2019-10-28,61.480000,63.689999,61.259998,62.939999,62.939999,855700
2019-10-29,62.930000,64.144997,62.735001,63.259998,63.259998,350600
2019-10-30,63.410000,64.800003,63.049999,64.660004,64.660004,586800
2019-10-31,64.830002,64.894997,63.099998,64.059998,64.059998,396300
2019-11-01,64.180000,65.754997,63.779999,65.449997,65.449997,466800
2019-11-04,65.959999,66.650002,63.970001,65.599998,65.599998,923400
2019-11-05,65.779999,66.660004,64.570000,66.500000,66.500000,1429800
2019-11-06,62.090000,65.120003,61.091999,64.989998,64.989998,2520100
2019-11-07,65.580002,67.800003,65.360001,66.010002,66.010002,2152000
2019-11-08,65.989998,66.250000,64.180000,65.510002,65.510002,1033500
2019-11-11,65.360001,66.269997,65.010002,66.000000,66.000000,837400
2019-11-12,65.279999,66.440002,64.400002,64.879997,64.879997,549200
2019-11-13,64.870003,64.989998,63.650002,64.519997,64.519997,1087800
2019-11-14,64.519997,65.574997,63.900002,65.250000,65.250000,738800
2019-11-15,65.809998,67.709999,65.300003,67.300003,67.300003,750300
2019-11-18,67.389999,67.879997,66.349998,67.099998,67.099998,1297000
2019-11-19,67.419998,67.419998,66.449997,66.779999,66.779999,646500
2019-11-20,66.669998,67.949997,66.449997,66.889999,66.889999,591300
2019-11-21,67.129997,67.440002,66.260002,66.599998,66.599998,465200
2019-11-22,67.089996,67.279999,65.809998,66.800003,66.800003,413100
2019-11-25,67.000000,67.580002,66.900002,67.120003,67.120003,1173000
2019-11-26,67.519997,69.500000,67.290001,68.250000,68.250000,811300
2019-11-27,68.309998,68.629997,67.620003,68.419998,68.419998,632400
2019-11-29,68.040001,68.879997,67.820000,68.019997,68.019997,414600
2019-12-02,67.959999,67.959999,65.919998,66.669998,66.669998,658100
2019-12-03,65.430000,67.779999,65.110001,67.620003,67.620003,658100
2019-12-04,68.000000,68.660004,67.105003,68.129997,68.129997,807200
2019-12-05,68.389999,68.790001,67.690002,68.019997,68.019997,469900
2019-12-06,68.349998,68.860001,67.720001,68.589996,68.589996,880900
2019-12-09,68.419998,69.089996,68.000000,69.000000,69.000000,1053800
2019-12-10,69.000000,69.724998,68.459999,68.529999,68.529999,860900
2019-12-11,68.730003,68.919998,65.940002,66.080002,66.080002,686500
2019-12-12,65.879997,67.139999,64.519997,66.889999,66.889999,902800
2019-12-13,67.099998,67.349998,65.750000,66.180000,66.180000,979600
2019-12-16,66.389999,67.529999,66.125000,67.000000,67.000000,1321400
2019-12-17,67.230003,67.339996,66.410004,66.720001,66.720001,1115800
2019-12-18,66.709999,69.385002,66.680000,68.080002,68.080002,1115300
2019-12-19,68.339996,68.599998,67.660004,68.150002,68.150002,1301000
2019-12-20,68.910004,69.050003,67.760002,68.000000,68.000000,1236300
2019-12-23,68.400002,68.489998,67.544998,68.050003,68.050003,534600
2019-12-24,68.040001,68.680000,67.669998,67.919998,67.919998,179700
2019-12-26,67.949997,68.150002,67.360001,67.680000,67.680000,513600
2019-12-27,68.000000,68.139999,66.620003,66.709999,66.709999,359600
2019-12-30,66.519997,66.669998,63.889999,65.150002,65.150002,671400
2019-12-31,64.919998,65.940002,64.875000,65.709999,65.709999,330300
2020-01-02,66.160004,68.080002,66.160004,68.059998,68.059998,715800
2020-01-03,67.040001,68.029999,66.660004,67.690002,67.690002,348100
2020-01-06,67.120003,68.370003,66.620003,68.099998,68.099998,630500
2020-01-07,68.199997,68.489998,67.459999,68.080002,68.080002,546100
2020-01-08,68.250000,69.300003,67.940002,69.139999,69.139999,473200
2020-01-09,69.760002,69.855003,68.680000,69.449997,69.449997,318500
2020-01-10,68.199997,68.440002,66.680000,67.300003,67.300003,783500
2020-01-13,68.849998,72.209999,68.699997,69.330002,69.330002,1375000
2020-01-14,70.050003,70.760002,69.139999,70.669998,70.669998,840300
2020-01-15,70.860001,73.699997,70.860001,72.589996,72.589996,834700
2020-01-16,73.260002,74.055000,72.150002,72.440002,72.440002,621800
2020-01-17,72.860001,72.860001,70.199997,70.470001,70.470001,620400
2020-01-21,71.540001,72.099998,70.050003,70.440002,70.440002,917900
2020-01-22,71.010002,71.559998,70.349998,70.669998,70.669998,728100
2020-01-23,70.589996,70.919998,69.449997,69.980003,69.980003,483200
2020-01-24,70.379997,70.720001,68.152000,68.489998,68.489998,278300
2020-01-27,67.070000,68.230003,66.120003,67.709999,67.709999,572000
2020-01-28,67.970001,68.349998,67.400002,67.699997,67.699997,345500
2020-01-29,68.180000,68.910004,67.699997,68.220001,68.220001,679100
2020-01-30,67.980003,69.099998,67.379997,68.250000,68.250000,598000
2020-01-31,67.910004,68.190002,65.570000,66.010002,66.010002,628100
2020-02-03,67.269997,68.620003,66.849998,67.870003,67.870003,1055300
2020-02-04,68.779999,71.860001,68.000000,70.769997,70.769997,1915200
2020-02-05,62.230000,69.440002,61.029999,62.930000,62.930000,4198800
2020-02-06,63.000000,65.410004,63.000000,64.349998,64.349998,1786500
2020-02-07,64.309998,64.309998,61.889999,62.060001,62.060001,1710200
2020-02-10,61.529999,61.959999,60.910000,61.070000,61.070000,2021000
2020-02-11,61.580002,61.660000,59.830002,60.200001,60.200001,1835500
2020-02-12,60.259998,60.480000,58.799999,60.060001,60.060001,1303000
2020-02-13,59.459999,62.330002,59.444000,62.049999,62.049999,1367600
2020-02-14,62.000000,62.279999,60.599998,60.970001,60.970001,1290100
2020-02-18,60.900002,61.459999,60.230000,60.720001,60.720001,1977500
2020-02-19,61.000000,61.189999,60.660000,60.680000,60.680000,822500
2020-02-20,60.750000,61.230000,59.180000,60.840000,60.840000,748600
2020-02-21,60.250000,60.480000,58.880001,59.480000,59.480000,728200
2020-02-24,57.250000,58.790001,56.619999,58.580002,58.580002,1374600
2020-02-25,59.160000,59.180000,56.500000,56.840000,56.840000,976400
2020-02-26,56.959999,57.936001,53.250000,53.820000,53.820000,1569000
2020-02-27,52.779999,56.430000,52.400002,54.900002,54.900002,1694900
2020-02-28,52.849998,56.259998,52.840000,56.259998,56.259998,1051700
2020-03-02,56.439999,56.439999,53.330002,54.919998,54.919998,1135400
2020-03-03,54.910000,55.320000,52.389999,53.740002,53.740002,973900
2020-03-04,54.360001,55.430000,53.430000,55.290001,55.290001,571800
2020-03-05,54.220001,55.470001,54.060001,54.849998,54.849998,596100
2020-03-06,53.900002,54.680000,52.424999,53.740002,53.740002,1573800
2020-03-09,50.680000,51.509998,49.200001,49.730000,49.730000,886100
2020-03-10,50.900002,51.200001,47.060001,48.959999,48.959999,1080200
2020-03-11,47.810001,48.540001,44.830002,45.049999,45.049999,1003500
2020-03-12,42.049999,42.349998,36.040001,38.830002,38.830002,1857500
2020-03-13,41.459999,44.279999,39.810001,44.240002,44.240002,1594500
2020-03-16,38.650002,40.930000,37.680000,37.730000,37.730000,1348300
2020-03-17,38.110001,38.459999,35.509998,36.090000,36.090000,1288900
2020-03-18,34.130001,37.799999,33.490002,36.820000,36.820000,1537700
2020-03-19,36.180000,42.380001,35.029999,40.419998,40.419998,1457400
2020-03-20,41.400002,42.730000,38.040001,38.220001,38.220001,1228100
2020-03-23,38.310001,41.360001,36.430000,40.639999,40.639999,635500
2020-03-24,43.000000,46.959999,42.279999,46.730000,46.730000,1226300
2020-03-25,46.610001,48.570000,44.645000,46.950001,46.950001,949600
2020-03-26,47.099998,51.070000,46.584999,49.720001,49.720001,1282200
2020-03-27,48.119999,51.049999,47.375999,49.369999,49.369999,2012000
2020-03-30,49.549999,50.470001,46.790001,47.340000,47.340000,650900
2020-03-31,47.020000,48.349998,45.130001,46.240002,46.240002,1608500
2020-04-01,44.599998,45.730000,43.578999,44.919998,44.919998,991600
2020-04-02,45.020000,47.790001,44.330002,45.389999,45.389999,632100
2020-04-03,45.279999,45.709999,43.029999,44.490002,44.490002,890300
2020-04-06,46.279999,47.759998,46.099998,47.189999,47.189999,749100
2020-04-07,49.169998,50.150002,45.509998,45.639999,45.639999,791200
2020-04-08,45.959999,50.980000,45.810001,50.410000,50.410000,590200
2020-04-09,51.459999,53.419998,50.279999,51.520000,51.520000,728100
2020-04-13,51.180000,51.570000,48.730000,50.680000,50.680000,599700
2020-04-14,51.310001,52.599998,50.799999,51.810001,51.810001,1097600
2020-04-15,50.290001,51.757999,49.794998,50.020000,50.020000,1636100
2020-04-16,50.110001,50.840000,48.020000,48.500000,48.500000,1593700
2020-04-17,49.310001,51.750000,48.860001,51.480000,51.480000,2000600
2020-04-20,50.970001,51.990002,49.856998,50.049999,50.049999,680600
2020-04-21,49.029999,49.990002,46.654999,47.580002,47.580002,1170600
2020-04-22,49.200001,49.860001,48.250000,48.830002,48.830002,1000800
2020-04-23,49.020000,50.919998,49.020000,50.330002,50.330002,639300
2020-04-24,51.180000,52.040001,50.400002,51.759998,51.759998,692500
2020-04-27,52.119999,53.389999,51.810001,52.240002,52.240002,782700
2020-04-28,53.500000,53.990002,50.279999,51.779999,51.779999,636500
2020-04-29,53.150002,54.549999,52.549999,53.500000,53.500000,795200
2020-04-30,53.779999,54.980000,52.900002,53.689999,53.689999,349600
2020-05-01,52.490002,52.535000,50.060001,50.279999,50.279999,541500
2020-05-04,49.990002,51.919998,49.430000,51.900002,51.900002,514000
2020-05-05,53.000000,53.810001,52.680000,53.029999,53.029999,375700
2020-05-06,53.860001,54.619999,52.818001,54.020000,54.020000,673600
2020-05-07,55.110001,58.439999,54.778999,57.660000,57.660000,937200
2020-05-08,58.369999,58.588001,57.160000,58.549999,58.549999,463300
2020-05-11,58.900002,60.709999,58.549999,60.080002,60.080002,1073700
2020-05-12,60.880001,61.349998,58.849998,59.029999,59.029999,906500
2020-05-13,59.029999,59.029999,55.299999,56.540001,56.540001,960800
2020-05-14,55.669998,58.430000,54.500000,58.279999,58.279999,1813500
2020-05-15,65.610001,66.500000,63.240002,63.889999,63.889999,4005000
2020-05-18,66.279999,66.718002,62.029999,62.400002,62.400002,1883800
2020-05-19,62.240002,63.820000,61.369999,62.820000,62.820000,1431600
2020-05-20,63.000000,65.230003,61.570000,62.180000,62.180000,1143200
2020-05-21,62.180000,62.419998,61.290001,61.950001,61.950001,958500
2020-05-22,61.869999,63.810001,61.060001,63.810001,63.810001,1563300
2020-05-26,65.050003,66.669998,64.375000,65.860001,65.860001,1414600
2020-05-27,65.089996,66.669998,63.150002,66.040001,66.040001,958200
2020-05-28,66.500000,67.279999,65.260002,65.470001,65.470001,958500
2020-05-29,65.900002,66.419998,63.689999,66.150002,66.150002,1027200
2020-06-01,66.000000,68.410004,65.930000,67.970001,67.970001,873600
2020-06-02,68.000000,69.790001,67.379997,69.199997,69.199997,1074700
